,molecule_chembl_id,canonical_smiles,bioactivity,MW,LogP,NumHDonors,NumHAcceptors,pIC50
56,CHEMBL124172,O=C1C=C(c2ccsc2)S(=O)(=O)c2ccccc21,inactive,276.338,2.7592000000000008,0.0,4.0,4.468521082957745
57,CHEMBL123989,Cc1cccc2c1C(=O)C=C(c1ccc([N+](=O)[O-])cc1)S2(=O)=O,active,329.333,2.914320000000002,0.0,5.0,7.0
58,CHEMBL331182,O=C1C=C(c2cccnc2)S(=O)(=O)c2ccccc21,active,271.297,2.0927000000000002,0.0,4.0,6.698970004336019
59,CHEMBL333256,O=C1C=C(c2ccc[n+]([O-])c2)S(=O)(=O)c2ccccc21,active,287.296,1.3311000000000002,0.0,4.0,6.221848749616356
60,CHEMBL333761,O=C1C=C(c2cc[n+]([O-])cc2)S(=O)(=O)c2ccccc21,active,287.29600000000005,1.3311000000000002,0.0,4.0,6.221848749616356
61,CHEMBL123991,CC(C)(C)C1=CC(=O)c2ccccc2S1(=O)=O,inactive,250.319,2.5866000000000007,0.0,3.0,4.468521082957745
62,CHEMBL51623,C[C@@H]1C(=O)N(C(=O)C2CCC2)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,356.422,2.5711000000000004,0.0,4.0,4.494850021680094
63,CHEMBL298633,CC(C)C(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,344.41100000000006,2.4270000000000005,0.0,4.0,3.899629454882437
64,CHEMBL50036,C[C@@H]1C(=O)N(C(=O)C(C)(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,358.43800000000005,2.817100000000001,0.0,4.0,3.3010299956639813
65,CHEMBL298136,CC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1C(=O)c1ccccc1,inactive,383.4480000000001,1.2855,0.0,4.0,4.301029995663981
66,CHEMBL51822,C[C@@H]1C(=O)N(C(=O)CCO)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,346.38300000000004,1.1533999999999995,1.0,5.0,3.876148359032914
